happiness,familylife,finances,employment,housing,support,healthwellness,hwfrequency,socialgroup,socialgroupfrequency,serviceorganization,sorganizationfrequency,lonelinessfrequency,companionship,leftout,isolated,lonely,discuss,neighbors,family,friends,familyinperson,familyoverphone,familyoversocialmedia,friendsinperson,friendsoverphone,friendsoversocialmedia,problem,publicorindividual,government,individuals,nonprofits,churches,factors,movingaway,governmentcuts,technology,agingparents,unemployment,internet,socialmedia,socialmediafrequency,socialmediahours,lookingorengaging,connections,lonelinessandsocialmedia,onlinevsphone,onlinevsinperson,recommendinternet,spendtime,bigproblem,cause,continuous,lengthlonely,impactpersonalrelationships,impactjob,impactphysicalhealth,impactmentalhealth,talkfriend,visitpublic,counselor,exercise,drugs,cigarettes,overeat,past,browse,distract,talk,doctor,closefriend,familymember,mentalhealthprofessional,advisor,helpful,whototalkto,problemnotbad,havetime,energy,handleonyourown,afford,violentact,harmingyourself
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,No, ,No, ,No, ,Never,Sometimes,Sometimes,"Rarely, or",Not Lonely,3,Somewhat satisfied,Very satisfied,Somewhat satisfied,Every day,Every day,A few times a month,Every day,Every day,A few times a year,Nothing at all,More of an individual problem,No role at all,No role at all,Minor role,No role at all,Due to factors and circumstances beyond their control,Major reason,Not a reason,Major reason,Minor reason,Major reason,Yes,Yes,Less than that, ,An equal mix of both,Strengthened,Better,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Somewhat satisfied,Somewhat dissatisfied,Very satisfied,Somewhat satisfied,A lot,Yes,Several times a week,No, ,No, ,Sometimes,Sometimes,"Rarely, or","Rarely, or",Not Lonely,7,Somewhat dissatisfied,Somewhat satisfied,Very satisfied,A few times a month,A few times a week,A few times a week,Every day,A few times a year,Every day,A lot,More of a public health problem,Minor role,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Major reason,Minor reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,Very satisfied,A fair amount,Yes,Several times a week,Yes,About once a week,No, ,Sometimes,Sometimes,"Rarely, or",Sometimes,Not Lonely,5,Somewhat satisfied,Very satisfied,Somewhat satisfied,A few times a month,A few times a week,A few times a week,Every day,Every day,Every day,Some,More of an individual problem,Minor role,Major role,Minor role,Major role,Mostly have themselves to blame,Major reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Just a few,Yes,Once or twice a month,Yes,Once or twice a month,No, ,"Rarely, or",Never,"Rarely, or",Sometimes,Not Lonely,10,Somewhat dissatisfied,Very satisfied,Somewhat satisfied,A few times a week,A few times a month,Every day,A few times a week,A few times a month,Every day,A lot,More of a public health problem,Minor role,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Minor reason,Minor reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,Looking at what other people are doing,Strengthened,Worse,More satisfied,Less satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,A lot,No, ,No, ,No, ,"Rarely, or",Never,Sometimes,"Rarely, or",Not Lonely,5,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,A few times a year,A few times a month,A few times a month,A few times a week,A few times a month,A few times a week,Only a little,More of an individual problem,Minor role,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Major reason,Minor reason,Minor reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,Better,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Just a few,Yes,A few times a year,No, ,No, ,Sometimes,Never,Sometimes,Never,Not Lonely,5,Very satisfied,Somewhat satisfied,Somewhat satisfied,A few times a year,A few times a week,A few times a week,A few times a week,A few times a week,A few times a week,Nothing at all,More of an individual problem,Major role,Major role,Minor role,Major role,Mostly have themselves to blame,Not a reason,Minor reason,Major reason,Major reason,Major reason,Yes,No, , , , , ,Never interact with friends online (Vol.),Never interact with friends online (Vol.),"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Not too happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Just a few,Yes,Once or twice a month,No, ,No, ,"Rarely, or",Sometimes,Never,Never,Not Lonely,10,Somewhat dissatisfied,Somewhat satisfied,Very satisfied,Every day,Every day,Less than that,Every day,Every day,A few times a week,Only a little,Not sure,Major role,Major role,Major role,Minor role,Mostly have themselves to blame,Minor reason,Minor reason,Minor reason,Major reason,Not a reason,No,No, , , , , , , ,"Yes, would recommend",Not sure, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,Several times a week,No, ,Never,Never,Never,Never,Not Lonely,3,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,Every day,Every day,Every day,A lot,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Major reason,Major reason,Major reason,Yes,No, , , , , ,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,Yes,Less than that,No, ,Sometimes,Never,Never,"Rarely, or",Not Lonely,3,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Less than that,Every day,Never (Vol.),Every day,Less than that,Never (Vol.),Only a little,More of a public health problem,Minor role,Major role,Major role,Major role,Mostly have themselves to blame,Major reason,Major reason,Major reason,Major reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,Yes,Once or twice a month,Yes,About once a week,No, ,"Rarely, or",Sometimes,"Rarely, or","Rarely, or",Not Lonely,2,Somewhat satisfied,Somewhat satisfied,Very satisfied,A few times a year,A few times a month,A few times a month,A few times a month,A few times a year,A few times a week,Only a little,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Major reason,Major reason,Minor reason,Yes,No, , , , , ,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,Yes,Several times a week,Yes,Once or twice a month,No, ,Never,Never,Never,Never,Not Lonely,6,Very satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,A few times a week,Every day,A few times a week,Every day,Nothing at all,More of an individual problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Minor reason,Minor reason,Major reason,Yes,Yes,A few times a week,More than half an hour but less than one hour,An equal mix of both,Weakened,Never have feelings of loneliness (Vol.),Equally satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,A lot,No, ,Yes,Several times a week,No, ,Sometimes,Never,Sometimes,Never,Not Lonely,5,Very satisfied,Very satisfied,Very satisfied,A few times a month,A few times a month,A few times a month,A few times a month,A few times a month,A few times a month,Some,More of a public health problem,No role at all,Major role,Minor role,Minor role,Mostly have themselves to blame,Major reason,Not a reason,Minor reason,Major reason,Major reason,Yes,Yes,A few times a week,Less than half an hour,Looking at what other people are doing,Not sure,No impact (Vol.),Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,"Rarely, or",Sometimes,"Rarely, or",Never,Not Lonely,2,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Every day,A few times a month,A few times a week,A few times a week,A few times a month,A few times a week,Only a little,More of an individual problem,No role at all,Major role,Minor role,Minor role,Mostly have themselves to blame,Minor reason,Not a reason,Minor reason,Minor reason,Minor reason,Yes,No, , , , , ,Equally satisfied,More satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,A fair amount,No, ,No, ,No, ,"Rarely, or",Sometimes,"Rarely, or","Rarely, or",Not Lonely,20,Somewhat satisfied,Somewhat satisfied,Very satisfied,A few times a year,A few times a month,A few times a week,A few times a month,A few times a week,A few times a week,Some,More of a public health problem,Major role,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Not a reason,Major reason,Not a reason,Yes,Yes,A few times a week,At least an hour but less than 2 hours,An equal mix of both,Strengthened,Better,More satisfied,Less satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,A lot,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,8,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,Every day,A few times a week,A few times a week,A few times a month,A few times a week,Nothing at all,More of an individual problem,Minor role,Major role,Major role,Minor role,Both equally/It depends (Vol.),Not a reason,Not a reason,Major reason,Major reason,Minor reason,Yes,Yes,Every day,More than half an hour but less than one hour,Engaging in conversations with other people,Strengthened,No impact (Vol.),Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Not too happy,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,No one,No, ,No, ,No, ,Never,"Rarely, or",Always,"Rarely, or",Lonely,49,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Every day,A few times a month,Less than that,Every day,A few times a week,A few times a year,Nothing at all,More of an individual problem,Minor role,Minor role,No role at all,No role at all,Due to factors and circumstances beyond their control,Not a reason,Major reason,Minor reason,Major reason,Minor reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"Yes, would recommend",Easier,Isn't really a problem,"Death/loss of other family member (child, sibling, etc.)",Loneliness comes and goes,Less than 6 months,Somewhat positive,Somewhat negative,Somewhat negative,Very positive,Rarely,Never,Never,Almost always,Rarely,Rarely,Rarely,Almost always,Rarely,Rarely,No, , , , , , ,Major reason,Not a reason,Major reason,Major reason,Minor reason,Major reason,Yes,No
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,1,Very dissatisfied,Somewhat satisfied,Somewhat satisfied,A few times a month,A few times a week,Never (Vol.),A few times a year,A few times a month,Never (Vol.),Only a little,Not sure,No role at all,Major role,Minor role,Not sure,Both equally/It depends (Vol.),Minor reason,Minor reason,Major reason,Major reason,Not a reason,No,No, , , , , , , ,"Yes, would recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Not too happy,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,Often,Often,"Rarely, or","Rarely, or",Lonely,5,Very satisfied,Somewhat dissatisfied,Very satisfied,A few times a month,A few times a month,A few times a month,Every day,A few times a week,A few times a week,Some,More of a public health problem,Major role,Minor role,Major role,Major role,Mostly have themselves to blame,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,No,No, , , , , , , ,"No, would not recommend",Harder,Major problem,Death/loss of a spouse/significant other,Loneliness comes and goes,One to two years,Somewhat negative,No impact,Somewhat negative,Very negative,Sometimes,Rarely,Never,Never,Sometimes,Never,Rarely,Never,Never,Sometimes,No, , , , , , ,Minor reason,Major reason,Not a reason,Not a reason,Major reason,Not a reason,No,Yes
Somewhat happy,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Just a few,Yes,Several times a week,Yes,About once a week,No, ,Sometimes,Often,Sometimes,"Rarely, or",Lonely,5,Somewhat satisfied,Very satisfied,Somewhat dissatisfied,A few times a month,A few times a week,A few times a week,A few times a week,A few times a week,Every day,Some,More of an individual problem,No role at all,Major role,Minor role,Minor role,Mostly have themselves to blame,Minor reason,Not a reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,Looking at what other people are doing,Weakened,Worse,Equally satisfied,Less satisfied,"No, would not recommend",Easier,Minor problem,Death/loss of a spouse/significant other,Continually lonely,6 months to less than a year,Somewhat negative,Somewhat negative,Somewhat positive,Very negative,Sometimes,Sometimes,Never,Almost always,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Yes,No,Yes,Yes,Yes,Yes,Very helpful, , , , , , ,No,No
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,No, ,"Rarely, or",Never,"Rarely, or",Never,Not Lonely,6,Somewhat satisfied,Somewhat satisfied,Very satisfied,A few times a year,A few times a year,A few times a month,A few times a week,A few times a month,A few times a week,Only a little,More of a public health problem,No role at all,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Not a reason,Major reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Strengthened,Better,Equally satisfied,Equally satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
